Gene ID	2dpi	2dpi	3dpi	3dpi
PITG_21066	0.0	0.0	1.6	1.16
PITG_21067	40.85	38.61	47.09	47.27
PITG_21068	4.98	4.71	0.89	0.92
PITG_20982	0.0	0.0	3.9	4.52
PITG_20983	1.14	2.16	4.68	5.64
PITG_20984	0.0	0.0	15.4	16.56
PITG_20985	2.0	1.89	3.17	3.45
PITG_20986	5.22	0.0	3.7	3.9
PITG_20988	11.7	22.12	2.95	3.08
PITG_20989	0.0	0.0	2.65	2.2
PITG_20990	0.0	0.0	7.25	5.14
PITG_21360	0.0	0.0	0.34	0.3
PITG_21362	0.0	0.0	2.47	2.71
PITG_21363	96.1	0.0	41.77	44.39
PITG_21094	0.0	0.0	2.67	1.74
PITG_21096	0.0	0.0	0.95	1.66
PITG_21097	0.0	0.0	1.14	0.67
PITG_20754	0.0	0.0	4.36	5.11
PITG_20755	0.0	8.0	58.13	58.42
PITG_20759	33.03	24.53	21.24	21.23
PITG_20760	15.64	0.0	13.19	11.61
PITG_21180	17.25	0.0	8.7	8.1
PITG_21181	8.44	1.14	5.49	6.46
PITG_21182	64.84	85.36	58.19	58.38
PITG_21183	25.51	58.26	36.05	38.1
PITG_21184	0.0	6.52	15.47	12.84
PITG_21185	74.95	58.69	39.78	38.56
PITG_21186	117.99	106.87	76.91	71.24
PITG_21187	62.55	96.8	74.7	75.29
PITG_21188	10.43	0.0	12.32	11.73
PITG_21189	6.98	0.0	4.08	3.9
PITG_21190	0.0	0.0	3.54	4.45
PITG_21245	0.0	0.0	1.78	2.37
PITG_21247	7.43	7.03	2.47	2.05
PITG_21248	15.83	7.48	1.45	1.18
PITG_21124	118.28	55.9	7.29	7.43
PITG_21125	10.43	9.86	1.32	1.19
PITG_21126	0.0	0.0	4.53	4.65
PITG_21127	116.43	177.29	124.03	129.95
PITG_21128	41.06	53.36	104.26	102.24
PITG_21131	0.0	0.0	2.98	3.51
PITG_21132	16.71	0.0	10.83	8.3
PITG_21053	0.0	0.0	1.07	2.07
PITG_21054	44.48	35.03	36.39	31.89
PITG_21055	94.46	89.28	149.16	134.33
PITG_21058	0.0	19.87	1.69	1.76
PITG_21059	0.0	8.77	15.54	14.38
PITG_21077	32.57	54.72	40.07	39.8
PITG_21005	0.0	3.6	0.31	0.82
PITG_21006	44.57	26.33	35.4	36.26
PITG_21010	42.76	45.34	30.13	28.99
PITG_21011	66.39	100.39	167.35	162.05
PITG_21012	48.93	52.02	63.12	57.66
PITG_21013	0.0	3.98	5.99	5.59
PITG_21014	39.8	25.65	17.3	16.67
PITG_21170	33.92	53.43	22.04	27.06
PITG_21171	53.82	10.17	13.95	15.97
PITG_21172	64.11	69.57	101.89	104.32
PITG_21173	86.05	92.41	58.27	53.63
PITG_21174	0.0	0.0	0.44	0.31
PITG_21175	0.0	0.0	2.42	1.26
PITG_21176	110.64	98.42	55.16	55.45
PITG_21177	6.78	6.41	15.66	15.37
PITG_21178	20.95	16.97	27.05	26.63
PITG_21179	0.0	18.25	25.4	23.8
PITG_20706	0.0	5.72	2.18	1.05
PITG_20707	0.0	0.0	1.6	1.31
